标题,内容
踝关节莫名痛是怎么回事啊！！！,"建议到医院检查，如X线、B血常规、小便常规检测等，确诊后再做如何治疗的决定治疗可以口服氯唑沙宗,双氯分酸钠 "
"我妈妈前天骑自行车被摩托车撞了一下,当时摔倒在地上","您好：可以采用外贴中医膏药,百年神贴,直接渗入患处,消炎,消肿,阵痛,只求信任.祝早日康复! "
左手小指远端伸肌腱断裂,
创伤性关节炎怎么治疗,"是受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留於阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。中医认为所有的痛都是风寒湿痹，痰湿，於血停留（增生，肿块，肥大，风湿都属於的范畴），血於阻滞经络不通，气血不畅，营养通不过去引起筋的张硬或粘连而压迫神经发生疼痛或麻痹。要想彻底治愈必需筋拨离，不压迫神经，加上经络疏通(远古的疗法吊洗伤痛/吊洗风湿，具有把痰湿和於血洗出、软化疳结、活血化淤、促使气血重新组合的功效)。 "
"用透明酯酸纳关节腔内注射有没有副作用,哪种治疗方法",你好，关节腔内注射透明脂酸钠是没有副作用的。 
左脚外踝骨骨折手术钢钉固定,
"骨折是否都会伴有组织渗液的发生,跟滑膜炎有区别吗","滑膜炎是滑膜受到刺激产生炎症，造成分泌液失调形成积液的一种关节病变．膝关节是全身关节中滑膜最多的关节，故滑膜炎以膝为多见。滑膜细胞分泌液体，可以润滑和滋养关节，机体运动时膝关节所产生的热能全赖于滑膜液体及其血液循环而得以散发。当关节受外在性和内在性因素影响时，滑膜发生反应，引起充血或水肿，并且渗出液体，表现为关节肿胀，痛疼，功能受障碍。也可说关节腔有积液，就有滑膜炎症。目前临床上治疗方法很多，想取得好的效果，防止后遗症及复发，重要的是根据您的具体情况确定治疗方法和用药，建议最好采用外用药物治疗，可外敷舒筋活血,消肿止痛,活血散淤,祛风散寒的传统中医外科膏药治疗.膏药外敷治疗,局部渗透力强，药物分子经皮肤吸收参与血液循环，直达病处，并通过皮肤传导至经络、筋骨，激发肌体的调节功能从而增进关节及周围组织的血液循环，保护滑膜，改善营养状态，减少炎症渗出，促进关节液吸收，以解除关节僵硬、水肿、疼痛症状。促进功能恢复而达到治愈目地。你的检查结果、发病部位、外在表现、疼痛情况、目前的用药情况都是怎样的，最好能详细说明一下，以便能为你做出准确的指导，以取得最好的治疗效果。 "
几年了为何脚扭伤伤的地方为和还没有愈合？,中医的疗法是以提毒拔脓清除异物为主，可采用膏药外敷治疗，提脓拔毒，祛腐生肌，从而促进皮肤软组织的修复，不明之处可随时联系．祝早日康复！ 
"左脚底心痛,悬空更痛,有一跳一跳地痛的感觉",建议做影像学检查，可能是骨刺。 
请问胫后肌腱滑脱能保守治疗吗？,"此病诊断明确,的确需手治疗.胫后肌腱连同腱鞘在内踝沟中通过,其外侧被分裂韧带所包围.若此韧带与腱鞘因急性损伤后遗或慢性劳损引起无菌性炎症病变时,可发生内踝下方痛,疼痛可向足跟内侧传射,引起前足内侧痛、麻木、麻刺感、影响行走。此肌附着于舟骨粗隆部。保守治疗无法痊愈。建议手术。此手术为软组织松解手术。 "
请问足跟脂肪垫炎可以打封闭吗,建议你一定要注意休息和加强补钙，避免着凉，减少运动量，可以做局部的按摩和热敷，最好是再配合中医中药进行巩固的治疗，也可以做封闭的治疗，效果非常好，能够促进伤部的恢复和好转，非常有效的，希望你一定要重视我所说的情况。 
小腿运动后软组织挫伤,你好：软组织挫伤的病人是要限制活动的，建议你可以口服抗生素和活血化瘀的中成药可以使用红花油外擦的可以理疗烤电的 
"脚扭伤三周了,基本好了,走路不觉得痛","你好：擦点红花油，伤筋动骨一百天，注意休息。可以采用中医治疗！采用中药熬治的膏药,百年神贴.此膏药可透入皮肤产生消炎、止痛、活血化淤、通经走络、开窍透骨、祛风散寒等。贴于体表的膏药刺激神经末梢，通过反射，扩张血管，促进局部血液循环，改善周围组织营养，达到消肿，消炎和镇痛的目的现在药店还没有销售,这是民间的中药熬制而成,很多患者用了此药效果非常明显,抓紧治疗没有问题的.如有需要可以查看我的个人信息！只求信任！祝早日康复！ "
膝盖骨折应该注意些什么,你好，很高兴为你解答，有膝关节的片子吗，如果有，发过来看看再说，如果骨折没有移位，建议石膏固定四周，固定期间抬高患肢，活动脚踝，注意下肢的肿胀程度
如何治疗手指关节痛,"受凉转成风湿，痰湿停留於阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。中医认为所有的痛都是风寒湿痹，痰湿，於血停留（增生，肿块，肥大，风湿都属於的范畴），血於阻滞经络不通，气血不畅，营养通不过去引起筋的张硬或粘连而压迫神经发生疼痛或麻痹。要想彻底治愈必需筋拨离，不压迫神经，加上经络疏通(远古的疗法吊洗伤痛/吊洗风湿，具有把痰湿和於血洗出、软化疳结、活血化淤、促使气血重新组合的功效)。 "
"我孩子下楼梯,脚扭伤,今天第三天,现在脚已肿,有瘀","可以用生姜,韭菜根,陈皮水煎泡脚.同时吃跌打丸. "
老年人扭了脚能揉吗,你好，正常的情况因该是在伤后48小时之内进行冷敷，减少局部出血，过了48小时后进行局部热敷，帮助炎症吸收，患者目前应该进行局部热敷，口服舒筋活血药进行治疗。 
脚踝周围酸痛,"是受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留於阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。 "
左跟骨骨折咨询,你好，你这个情况就是跟骨骨折的石膏外固定术后康复的问题了，应该是这样的，术后1个半月内是需要卧床休息的，在床上进行功能锻炼的，1个半月后扶拐不负重下地行走开始功能锻炼，3个月后才可完全弃拐下地走路锻炼，你说的那一些情况对骨折愈合是没有大影响的，喝酒肯定是不好的，现在你可再配合中药壮骨伸筋散熏洗患处，情况就会好转的，感谢咨询，祝早日康复。
挫伤性关节炎的治疗,你好，如果想找此药建议到求医问药里进行查询。 
"我爱人今年31岁,去年十月份穿一双鞋垫,鞋垫后脚跟处有凸出来绣花",一定不要劳累，注意休息，外敷药的名称是金创活络膏，每贴贴三天，21天为一疗程，不明之处可随时联系咨询。 
脚扭伤一年为好挫伤性关节炎怎么治疗,你好，考虑是由于长时间的软组织挫伤，得不到有效的治疗和恢复，慢慢的造成了关节的炎症，建议平时一定要多注意休息和加强补钙，并且要多注意保暖，可以局部的进行按摩与热敷，并且有减少运动活动量。
足踝部陈旧性损伤怎么治疗？,"筋血不活毛细血管及微循环不畅所致，建议外敷中医外科膏药，通过膏药外敷,舒筋活血,消肿止痛,活血散淤,祛风散寒,并通过皮肤传导至经络、筋骨，激发肌体的调节功能，可迅速消除肿痛，促进血液流畅和功能恢复。不明之处可随时联系咨询．祝早日康复 "
我的第五趾趾骨骨折，,"您好,建议四至六周后根据骨折线愈合情况. "
,
"我弟今天22岁,去年可能由于穿不合脚鞋子的原因,到过年时才发现自己有甲沟炎（大","答属于甲沟炎的病症大多有甲--肉[软组织>形变的症状;甲指因人而异自然生长,自然嵌入软组织.人为无法改变[指手术拔除仍会自然生长嵌入刺激成脓炎症>1;已有炎症可将病指浸入碘酒内浸泡五分钟让碘酒充分浸入甲沟达有效杀菌之目的.几次即可有效控制病症.2;在无法阻止其生长趋势情况下平时注意修剪和保持甲沟清洁,防感染.3;因为碘酒能使蛋白质凝固故浸泡在碘酒内部分皮肤会变得粗糙.最后脱去一层薄皮.但不痛没其他妨碍. "
脚后跟及腿痛,您好：踝关节是人体承受比重最大的关节，建议采用中医治疗百年神贴，可透入皮肤消炎阵痛，活血化淤，只求信任，祝早日康复! 
足裸扭伤几年未好是有炎症吗？,你好，这种情况如果是软组织损伤以后，那么一般现在好几年了还是出现有症状疼痛等等这种情况，他也不是说咱想象中的那个严重，他如果有炎症也是无菌性炎症，可以通过改善血液循环去解决的。
膝关节髌韧带打封闭后几天才能洗澡？,可以的 
,
髌韧带损伤打封闭后要多久才能好,你好！伤筋动骨一百天，需慢慢恢复。建议：平时应养成良好的生活习惯，注意休息不熬夜，可同时结合中药熏洗和中药热敷等。伤肢保暖防受凉受潮，尽量避免剧烈的运动，不要长时间负重爬楼、爬山等。保持良好的心态畅情志，饮食宜清淡营养忌辛辣生冷食品，在保护好伤腿的情况下多到户外活动适当晒晒太阳促进钙的吸收利于康复。
变天脚冷怎么办,考虑是风湿病的可能性比较大，建议你到医院检查一下风湿因子，确诊一下，是的话及时的进行治疗。注意补钙和加强保暖，避免着凉。可以做封闭的治疗。 
脚踝扭伤10个月``,"你好.是没有注意休息引起的.是软组织损伤.筋血不活毛细血管及微循环不畅所致，建议最好采用外用药物治疗.建议外敷传统中医外科膏药，通过膏药外敷,舒筋活血,消肿止痛,活血散淤,祛风散寒,并通过皮肤传导至经络、筋骨，激发肌体的调节功能，可迅速消除肿痛，促进血液流畅和功能恢复。你的检查结果、发病部位、外在表现、疼痛情况、目前的用药情况都是怎样的，最好能详细说明一下，以便能为你做出准确的指导，以取得最好的治疗效果 "
你好，请问下我上个月被砸到脚了，,1.小脚趾骨骨折1月余，伴轻微疼痛。由于不是负重的主要地方，现在完全可以去上班。2.关节死板、不灵活，可能与石膏固定有关。3.适当热敷、理疗，作功能锻炼，上述症状可以得到缓解。 
脚底感觉很累，很疼是什么引起的,建议你的情况可以到医院检查一下血糖的情况。 
骨头长好了，但有点弯要不要紧,"你的情况不会影响你的身高发育,体育功能锻炼,一般骨折愈合只要骨折端对合2/3即可,力线垂直,就是功能对位,所以你不必担心. "
"打完球后回家洗澡,用按摩垫按摩左右腿后","是劳损或受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留於阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。中医认为所有的痛都是风寒湿痹，痰湿，於血停留（增生，肿块，肥大，风湿都属於的范畴），血於阻滞经络不通，气血不畅，营养通不过去引起筋的张硬或粘连而压迫神经发生疼痛或麻痹。要想彻底治愈必需筋拨离，不压迫神经，加上经络疏通(远古的疗法吊洗伤痛/吊洗风湿，具有把痰湿和於血洗出、软化疳结、活血化淤、促使气血重新组合的功效)。 "
